id,exercise,duration,repetition,set,weight,distance
0,深蹲,30,6,5,20,0
1,深蹲,10,10,3,15,0
2,飞鸟,10,10,3,5,0
3,哑铃卧推,15,10,3,15,0
4,卷腹,10,50,3,5,0
5,硬拉,12,7,3,11,0
6,罗马尼亚硬拉,30,9,4,13,0
7,卧推,20,8,1,19,0
8,卷腹,17,6,1,10,0
9,深蹲,20,10,10,14,0
10,飞鸟,26,9,3,13,0
11,哑铃卧推,10,8,3,12,0
12,卷腹,11,9,9,13,0
13,硬拉,13,9,10,11,0
14,罗马尼亚硬拉,20,6,3,15,0
15,卧推,17,6,2,18,0
16,卷腹,28,6,4,19,0
17,硬拉,11,10,3,19,0
18,罗马尼亚硬拉,12,9,8,16,0
19,卧推,27,7,7,12,0
20,罗马尼亚硬拉,15,7,7,16,0
21,卧推,23,8,5,18,0
22,卷腹,13,9,3,19,0
23,硬拉,23,6,1,20,0
24,罗马尼亚硬拉,30,9,1,20,0
25,卧推,22,8,8,16,0
26,卷腹,12,10,4,18,0
27,深蹲,16,10,6,13,0
28,飞鸟,10,6,5,20,0
29,哑铃卧推,29,7,4,17,0
30,卷腹,13,6,8,17,0
31,罗马尼亚硬拉,21,10,3,10,0
32,卧推,14,10,9,12,0
33,卷腹,15,7,4,15,0
34,硬拉,27,9,8,20,0
35,罗马尼亚硬拉,21,9,4,16,0
36,卧推,17,6,1,20,0
37,罗马尼亚硬拉,27,9,5,13,0
38,卧推,11,9,1,10,0
39,卧推,28,9,5,18,0
40,罗马尼亚硬拉,18,6,6,19,0
41,卧推,19,10,9,15,0
42,罗马尼亚硬拉,16,8,10,14,0
43,卧推,29,9,4,15,0
44,卷腹,18,8,6,10,0
45,硬拉,20,9,6,14,0
46,罗马尼亚硬拉,14,8,10,19,0
47,卧推,19,8,9,17,0
48,罗马尼亚硬拉,24,9,6,16,0
49,深蹲,18,10,9,15,0
50,卧推,22,10,7,16,0
51,飞鸟,25,8,3,16,0
52,哑铃卧推,23,6,5,11,0
53,罗马尼亚硬拉,25,8,8,16,0
54,深蹲,19,7,4,13,0
55,卧推,24,9,8,16,0
56,飞鸟,21,8,9,10,0
57,哑铃卧推,10,7,4,15,0
58,哑铃卧推,23,9,4,11,0
59,卷腹,12,6,5,13,0
60,硬拉,26,6,1,10,0
61,罗马尼亚硬拉,15,6,6,12,0
62,卧推,13,8,8,11,0
63,罗马尼亚硬拉,26,8,3,18,0
64,卧推,29,9,9,11,0
65,卷腹,15,9,7,17,0
66,硬拉,28,6,7,17,0
67,深蹲,25,10,5,10,0
68,卧推,28,7,3,10,0
69,罗马尼亚硬拉,18,8,9,14,0
70,卧推,15,7,1,13,0
71,卷腹,21,8,5,15,0
72,硬拉,21,6,3,20,0
73,深蹲,18,6,3,11,0
74,哑铃卧推,28,8,10,11,0
75,卷腹,20,6,10,13,0
76,硬拉,24,7,7,19,0
77,俯卧撑,23,7,2,12,0
78,卧推,17,8,2,17,0
79,卷腹,18,6,10,10,0
80,硬拉,21,9,5,11,0
81,罗马尼亚硬拉,17,8,3,10,0
82,卧推,19,10,5,16,0
83,卷腹,27,9,4,19,0
84,硬拉,12,8,4,11,0
85,罗马尼亚硬拉,29,6,2,17,0
86,卧推,30,7,2,19,0
87,深蹲,22,9,4,10,0
88,俯卧撑,28,6,8,11,0
